ID,Sample,negativity,neutrality,positivity,compound,polarity,subjectivity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Verdadero,Misinformation,Desinformación,ProGob,ContraGob,NoVerificable,MisDisInformation,Propaganda
294,A,0,0.857,0.143,0.7579,0.481818182,0.536363636,0.037037037,0.037037037,0,0.037037037,0.037037037,0.037037037,0.185185185,0,0.037037037,0.037037037,0,0,0,0,0,1,0,0
295,A,0.089,0.67,0.242,0.624,0.14,0.615,0.1,0.05,0.1,0.1,0.15,0.1,0.2,0.05,0.05,0.1,0,0,0,0,1,0,0,1
296,A,0,0.919,0.081,0.4404,0.14,0.483333333,0,0.086956522,0,0,0.043478261,0,0.217391304,0,0.043478261,0.043478261,0,0,0,1,0,0,0,1
297,A,0,0.92,0.08,0.25,0,0,0,0,0,0,0,0,0.181818182,0,0,0.272727273,1,0,0,0,0,0,0,0
298,A,0,0.859,0.141,0.5556,0.333333333,0.533333333,0,0,0,0,0.066666667,0,0.066666667,0,0,0.066666667,1,0,0,0,0,0,0,0
299,A,0,1,0,0,0.068181818,0.227272727,0,0.043478261,0,0,0,0,0.043478261,0,0,0,1,0,0,0,0,0,0,0
300,A,0,0.847,0.153,0.4019,0,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0
301,A,0,1,0,0,0.25,0.333333333,0,0,0,0,0,0,0.125,0,0,0,1,0,0,1,0,0,0,1
302,A,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0
303,A,0,1,0,0,0.25,0.333333333,0,0,0.058823529,0.058823529,0.058823529,0.058823529,0.117647059,0.058823529,0,0.058823529,0,0,0,0,0,1,0,0
304,A,0,0.796,0.204,0.5994,0,0,0,0.076923077,0,0.076923077,0,0,0.307692308,0,0,0.153846154,0,0,0,0,0,1,0,0
306,A,0.059,0.941,0,-0.0191,-0.1,0,0,0,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0,0,0,1,0,0,1
307,A,0.386,0.614,0,-0.6597,0,0,0.2,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,1,0,0
308,A,0.113,0.726,0.161,0.1531,-0.071428571,0.214285714,0,0.142857143,0,0.142857143,0,0.142857143,0.142857143,0,0.142857143,0.142857143,1,0,0,0,0,0,0,0
309,A,0,0.854,0.146,0.7906,0.116666667,0.211111111,0,0.090909091,0.045454545,0.045454545,0.045454545,0.045454545,0.136363636,0,0,0.136363636,1,0,0,0,0,0,0,0
310,A,0.153,0.847,0,-0.4404,0.025,0.425,0,0,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0,0,0,1,0,0
311,A,0,0.905,0.095,0.6249,0.8,0.75,0,0,0,0,0,0,0.157894737,0,0,0.052631579,0,0,0,0,0,1,0,0
314,A,0,1,0,0,0.125,0.166666667,0,0,0,0,0,0,0.157894737,0,0,0.052631579,1,0,0,0,0,0,0,0
315,A,0,0.911,0.089,0.5574,0.063636364,0.322727273,0,0,0,0.04,0,0,0.16,0,0,0.12,1,0,0,0,0,0,0,0
316,A,0.139,0.861,0,-0.2732,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,1,0,0
317,A,0,1,0,0,0,0,0,0,0,0.142857143,0,0.142857143,0.142857143,0,0,0,1,0,0,0,0,0,0,0
318,A,0,0.946,0.054,0.25,-0.041666667,0.258333333,0,0,0.052631579,0.052631579,0,0.105263158,0.052631579,0,0,0.052631579,0,0,0,0,0,1,0,0
319,A,0.049,0.951,0,-0.3252,-0.06,0.1,0,0.083333333,0,0,0,0,0.083333333,0,0,0.041666667,1,0,0,0,0,0,0,0
320,A,0,0.758,0.242,0.8885,0.253535354,0.55959596,0,0,0,0,0,0,0.222222222,0,0,0.166666667,1,0,0,0,0,0,0,0
321,A,0.087,0.786,0.127,0.128,0.055454545,0.450757576,0.055555556,0,0,0,0.055555556,0.166666667,0.055555556,0,0,0,0,0,0,1,0,0,0,1
322,A,0,0.816,0.184,0.5574,0.159090909,0.292929293,0,0,0,0,0,0,0.166666667,0,0,0,1,0,0,0,0,0,0,0
324,A,0,0.745,0.255,0.7009,0,0,0,0.133333333,0,0,0,0.066666667,0,0,0,0.066666667,0,0,0,0,0,1,0,0
325,A,0,0.849,0.151,0.7425,0.191666667,0.45,0,0.086956522,0,0.043478261,0,0.043478261,0.086956522,0,0.043478261,0.043478261,1,0,0,0,0,0,0,0
326,A,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0
327,A,0.232,0.768,0,-0.9442,-0.016666667,0.216666667,0.04,0.04,0,0.04,0.04,0.12,0.04,0.04,0.04,0,0,0,0,0,0,1,0,0
328,A,0.247,0.753,0,-0.5574,0.4,1,0,0,0,0,0,0,0.166666667,0,0,0.166666667,1,0,0,0,0,0,0,0
329,A,0,0.781,0.219,0.4215,0.1,0.1,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,1,0,0,0,1,0
331,A,0,0.858,0.142,0.5106,0,0,0,0,0,0,0,0,0.047619048,0,0,0,1,0,0,0,0,0,0,0
332,A,0,0.855,0.145,0.296,0.1,0.4,0,0,0,0,0,0,0.111111111,0,0,0,1,0,0,0,0,0,0,0
333,A,0.15,0.85,0,-0.3182,0,0,0,0,0,0,0,0.111111111,0.222222222,0.111111111,0,0,1,0,0,0,0,0,0,0
334,A,0.157,0.843,0,-0.3818,0.142857143,0.267857143,0,0,0,0.090909091,0,0.181818182,0.181818182,0.090909091,0.090909091,0,0,0,0,1,0,0,0,1
335,A,0.165,0.785,0.05,-0.6637,0.129166667,0.275,0.095238095,0,0,0.19047619,0,0.19047619,0.047619048,0.095238095,0,0,0,0,0,0,0,1,0,0
336,A,0,0.881,0.119,0.3182,0.06875,0.26875,0,0,0,0,0,0,0.090909091,0,0,0,1,0,0,0,0,0,0,0
337,A,0,1,0,0,0.066666667,0.1,0,0,0,0,0,0,0.111111111,0,0,0,1,0,0,0,0,0,0,0
338,A,0.049,0.951,0,-0.2057,-0.02,0.27,0.04,0,0.04,0,0,0.04,0.08,0,0,0.08,0,0,0,0,0,1,0,0
339,A,0,1,0,0,0,0,0,0,0,0,0,0,0.153846154,0,0,0.153846154,1,0,0,0,0,0,0,0
340,A,0,0.835,0.165,0.7717,0.169318182,0.311363636,0,0.04,0,0,0.04,0,0.08,0,0.04,0.08,1,0,0,0,0,0,0,0
341,A,0.136,0.753,0.111,-0.2528,0.333333333,0.533333333,0,0,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0,0,0.055555556,1,0,0,0,0,0,0,0
342,A,0.057,0.874,0.069,-0.0956,0.083333333,0.666666667,0,0.111111111,0.037037037,0.111111111,0.037037037,0.111111111,0.185185185,0.037037037,0,0.111111111,0,0,0,0,0,1,0,0
343,A,0,0.831,0.169,0.743,0.35,0.725,0,0.04,0.04,0,0.08,0.04,0.12,0,0.04,0.08,1,0,0,0,0,0,0,0
344,A,0,0.939,0.061,0.0772,0,0.155555556,0,0.071428571,0,0,0,0,0.071428571,0,0,0.071428571,0,0,0,0,0,1,0,0
345,A,0,0.912,0.088,0.34,0.5,0.5,0,0,0,0,0,0,0.083333333,0,0.083333333,0.083333333,1,0,0,0,0,0,0,0
346,A,0.351,0.649,0,-0.8481,0.075,0.216666667,0.090909091,0,0,0,0,0.090909091,0.090909091,0.090909091,0,0,1,0,0,0,0,0,0,0
347,A,0.096,0.831,0.073,-0.2263,-0.15,0.2,0,0.045454545,0,0,0,0.045454545,0,0.045454545,0.045454545,0,1,0,0,0,0,0,0,0
349,A,0.175,0.714,0.111,-0.3818,0.35,0.55,0,0,0,0.076923077,0,0.076923077,0.153846154,0.076923077,0,0.076923077,1,0,0,0,0,0,0,0
350,A,0,0.881,0.119,0.4767,0.05,0.275,0,0,0,0,0,0,0.230769231,0,0,0.076923077,1,0,0,0,0,0,0,0
351,A,0.025,0.975,0,-0.0772,-0.011111111,0.563888889,0,0,0,0.043478261,0,0.043478261,0.130434783,0,0,0,0,0,0,0,0,1,0,0
352,A,0.047,0.92,0.033,-0.126,-0.11,0.485,0,0.058823529,0,0,0.117647059,0.058823529,0.235294118,0,0.058823529,0.176470588,0,0,0,1,0,1,0,1
353,A,0,0.89,0.11,0.5574,0.03030303,0.439393939,0,0.071428571,0,0,0,0.071428571,0.071428571,0,0,0.071428571,1,0,0,0,0,0,0,0
354,A,0.071,0.797,0.131,0.4215,0,0.373333333,0,0,0,0,0,0,0.045454545,0,0,0.045454545,0,0,0,0,0,1,0,0
355,A,0.127,0.873,0,-0.7717,-0.714285714,0.857142857,0.045454545,0.045454545,0.090909091,0,0,0.090909091,0.090909091,0.045454545,0,0,0,0,0,1,0,0,0,1
356,A,0,1,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0.111111111,1,0,0,0,0,0,0,0
